,exp,X,Q2,scaled,value,obs,target,lepton beam,stat_scaled,stat_u,syst_scaled,syst_u,*norm_c
0,MARATHON,0.195,2.73,1.041,1.041,F2,h/d,e,0.003,0.0015,0.007,0.007,0.012492
1,MARATHON,0.225,3.15,1.042,1.042,F2,h/d,e,0.003,0.0015,0.007,0.007,0.012504000000000001
2,MARATHON,0.255,3.5700000000000003,1.042,1.042,F2,h/d,e,0.004,0.002,0.007,0.007,0.012504000000000001
3,MARATHON,0.285,3.9899999999999998,1.05,1.05,F2,h/d,e,0.004,0.002,0.007,0.007,0.0126
4,MARATHON,0.315,4.41,1.037,1.037,F2,h/d,e,0.005,0.0025,0.007,0.007,0.012443999999999998
5,MARATHON,0.345,4.83,1.05,1.05,F2,h/d,e,0.005,0.0025,0.007,0.007,0.0126
6,MARATHON,0.375,5.25,1.063,1.063,F2,h/d,e,0.007,0.0035,0.007,0.007,0.012756
7,MARATHON,0.405,5.67,1.053,1.053,F2,h/d,e,0.009,0.0045,0.007,0.007,0.012636
8,MARATHON,0.435,6.09,1.037,1.037,F2,h/d,e,0.009,0.0045,0.007,0.007,0.012443999999999998
9,MARATHON,0.465,6.510000000000001,1.053,1.053,F2,h/d,e,0.009,0.0045,0.007,0.007,0.012636
10,MARATHON,0.495,6.93,1.074,1.074,F2,h/d,e,0.009,0.0045,0.007,0.007,0.012888000000000002
11,MARATHON,0.525,7.3500000000000005,1.078,1.078,F2,h/d,e,0.01,0.005,0.007,0.007,0.012936000000000001
12,MARATHON,0.555,7.7700000000000005,1.061,1.061,F2,h/d,e,0.01,0.005,0.007,0.007,0.012732
13,MARATHON,0.585,8.19,1.056,1.056,F2,h/d,e,0.01,0.005,0.007,0.007,0.012672000000000001
14,MARATHON,0.615,8.61,1.055,1.055,F2,h/d,e,0.01,0.005,0.007,0.007,0.01266
15,MARATHON,0.645,9.030000000000001,1.079,1.079,F2,h/d,e,0.011,0.0055,0.007,0.007,0.012948
16,MARATHON,0.675,9.450000000000001,1.053,1.053,F2,h/d,e,0.012,0.006,0.007,0.007,0.012636
17,MARATHON,0.705,9.87,1.094,1.094,F2,h/d,e,0.011,0.0055,0.007,0.007,0.013128
18,MARATHON,0.735,10.29,1.09,1.09,F2,h/d,e,0.011,0.0055,0.007,0.007,0.013080000000000001
19,MARATHON,0.765,10.71,1.102,1.102,F2,h/d,e,0.011,0.0055,0.007,0.007,0.013224000000000001
20,MARATHON,0.795,11.13,1.103,1.103,F2,h/d,e,0.013,0.0065,0.007,0.007,0.013236
